Star,HD #,RA,DEC,Magn.,Sp. type,Tot. nb,1 year,2 months,Last,Obs Period
16 Peg,208057,+21 53 03.8,+25 55 30.5,5.08,B3Ve,107,3,0,9/9/2024 21:19,365
HD 208682,208682,+21 55 31.0,+65 19 14.9,5.94,B2.5Ve,44,1,0,6/19/2024 20:50,365
omi Aqr,209409,+22 03 18.8,-02 09 19.3,4.7,B7IVe,93,2,0,10/22/2024 22:09,365
25 Peg,210129,+22 07 50.3,+21 42 10.5,5.78,B7Vne,70,2,0,9/28/2024 22:04,365
V357 Lac,212044,+22 20 22.7,+51 51 39.6,6.98,B1Vnnpev,207,13,0,12/6/2024 20:20,1
31 Peg,212076,+22 21 31.1,+12 12 18.7,4.81,B2IVe,123,3,0,9/1/2024 5:45,365
pi Aqr,212571,+22 25 16.6,+01 22 38.6,4.79,B1Ve,863,21,0,11/6/2024 4:28,7
8 Lac B,214168,+22 35 52.1,+39 37 41.3,6.48,B2Ve,24,2,0,9/3/2024 5:57,365
8 Lac A,214167,+22 35 52.3,+39 38 03.6,5.73,B2Ve,61,1,0,9/5/2024 23:33,120
HD 216057,216057,+22 48 47.9,+54 24 53.6,6.13,B5Vne,33,3,0,10/2/2024 5:48,365
14 Lac,216200,+22 50 21.8,+41 57 12.2,5.93,B3IVe,153,5,1,12/25/2024 20:33,30
EW Lac,217050,+22 57 04.5,+48 41 02.6,5.42,B3IVpe,120,19,2,1/25/2025 16:47,90
V378 And,217543,+23 00 54.7,+38 42 28.2,6.56,B3Vpe,64,2,0,11/22/2024 3:37,365
omi And,217675,+23 01 55.3,+42 19 33.5,3.63,B6IIIpe,362,8,0,10/7/2024 19:59,90
bet Psc,217891,+23 03 52.6,+03 49 12.2,4.49,B6Ve,125,2,0,8/31/2024 7:02,365
KY And,218674,+23 09 16.7,+49 39 02.2,6.76,B3IVe,48,1,0,7/13/2024 1:29,365
18 And,222304,+23 39 08.3,+50 28 18.2,5.35,B9Ve,68,4,0,11/14/2024 18:08,365
LQ And,224559,+23 58 46.4,+46 24 47.4,6.54,B4Vne,51,3,0,11/14/2024 18:55,365
HD 224544,224544,+23 58 49.2,+32 22 54.1,6.52,B6IVe,47,1,1,12/28/2024 21:18,365
